Sn,300,268,168.4
Sn,2.5,4.6,44.8
Sn,0.0,0.0,51.5
SO,79.58,53.47,221.9
Sr,164,110,164.53
Sr,0.0,0.0,54.4
Sr2+,-545.51,-557.3,-39
Ti,469,423,100.20
Ti,0.0,0.0,30.3
Ti2O3,-1536,-1448,78.78
Ti3O5,-2443,-2300,129.4
TiO2,-912.1,-852.7,50.25
TiO2+,-,-577,-
TlI,-124,-124,123
TlI,33,-13,274
W,843.5,801.7,173.85
W,0.0,0.0,33
Xe,0.0,0.0,169.6
Zn,0.0,0.0,41.6
ZnO,-348.0,-318.2,43.9
